year,month,tmax,tmin,rain_mm
2012,8,20.3,14.4,102.6
2012,9,17.4,10.9,81.4
2012,10,14.4,8.4,169.4
2012,11,11.3,5.5,125.8
2012,12,10.0,4.1,197.0
2013,1,8.3,4.0,94.8
2013,2,7.7,2.5,58.6
2013,3,7.9,1.7,58.4
2013,4,11.5,4.8,32.8
2013,5,14.4,6.7,82.2
2013,6,18.2,11.1,21.2
2013,7,23.4,13.8,22.2
2013,8,20.7,13.9,83.2
2013,9,18.6,12.2,82.2
2013,10,16.7,11.3,135.5
2013,11,11.5,5.3,96.2
2013,12,11.1,4.5,142.4
2014,1,10.1,4.5,153.1
2014,2,10.1,4.7,144.9
2014,3,12.3,4.3,52.8
2014,4,14.3,7.1,71.3
2014,5,16.3,9.7,70.2
2014,6,20.1,11.9,77.2
2014,7,21.8,13.8,42.4
2014,8,19.3,12.7,118.0
2014,9,20.7,11.6,9.6
2014,10,16.9,11.0,90.2
2014,11,12.7,6.4,81.0
2014,12,10.1,4.2,85.3
2015,1,9.6,4.0,135.0
2015,2,8.4,2.4,79.0
2015,3,10.9,3.7,53.4
2015,4,14.9,6.1,23.0
2015,5,14.8,8.8,76.0
2015,6,18.3,10.9,44.4
2015,7,19.5,13.0,81.8
2015,8,19.8,12.4,132.4
2015,9,17.8,9.8,85.8
2015,10,15.8,8.8,64.4
2015,11,13.8,9.1,109.4
2015,12,13.5,9.5,122.2
2016,1,10.3,5.0,139.0
2016,2,9.3,3.4,83.2
2016,3,10.7,3.0,78.8
2016,4,12.6,5.0,38.6
2016,5,17.9,8.9,43.0
2016,6,18.9,12.7,103.2
2016,7,20.2,13.9,27.6
2016,8,20.9,13.8,62.0
2016,9,19.7,13.4,79.0
2016,10,15.2,8.0,32.0
2016,11,10.9,5.1,143.4
2016,12,10.6,4.8,45.8
2017,1,9.0,3.7,91.4
2017,2,10.3,5.2,54.0
2017,3,12.6,6.6,92.4
2017,4,13.6,5.7,25.2
2017,5,17.7,9.8,35.2
2017,6,20.2,12.7,60.2
2017,7,20.2,13.8,130.4
2017,8,19.6,12.9,86.2
2017,9,17.7,11.3,114.2
2017,10,16.2,11.4,50.2
2017,11,12.3,5.9,81.4
2017,12,10.2,4.9,116.0
2018,1,9.8,4.1,94.4
2018,2,7.5,1.9,39.0
2018,3,9.3,3.0,113.4
2018,4,14.2,7.0,67.8
2018,5,17.7,8.9,36.6
2018,6,22.5,12.7,3.8
2018,7,23.4,14.0,33.4
2018,8,20.4,14.0,88.0
2018,9,18.5,11.1,83.6
2018,10,15.3,8.3,63.4
2018,11,12.3,6.6,96.2
2018,12,11.5,6.5,109.8
2019,1,8.6,3.8,50.6
2019,2,12.4,4.2,60.6
2019,3,11.8,5.8,78.6
2019,4,14.8,6.0,75.0
2019,5,16.3,7.8,22.2
2019,6,18.5,11.7,102.4
2019,7,22.3,13.6,39.8
2019,8,21.0,14.1,88.8
2019,9,18.9,12.4,151.8
2019,10,15.0,9.2,167.0
2019,11,11.0,5.9,142.2
2019,12,10.3,4.2,129.2
2020,1,10.3,4.9,89.6
2020,2,10.5,5.2,145.8
2020,3,11.3,4.4,70.8
2020,4,17.2,6.7,32.6
2020,5,18.7,8.0,7.8
2020,6,19.4,11.5,117.4
2020,7,19.0,12.6,52.4
2020,8,21.2,14.5,115.4
2020,9,18.7,11.4,56.0
2020,10,14.4,9.2,142.4
2020,11,13.1,6.7,70.4
2020,12,9.9,4.8,181.4
2021,1,8.2,2.4,133.2
2021,2,9.8,3.8,63.0
2021,3,11.6,4.3,33.4
2021,4,13.2,3.2,5.6
2021,5,14.7,7.3,135.8
2021,6,19.9,11.6,35.0
2021,7,22.1,14.0,101.2
2021,8,20.1,12.8,38.2
2021,9,20.3,12.6,62.2
2021,10,16.5,10.2,124.8
2021,11,12.3,6.7,46.4
2021,12,11.4,6.6,80.2
2022,1,9.8,3.3,56.4
2022,2,11.1,5.5,74.0
2022,3,13.2,4.5,26.4
2022,4,14.9,5.7,33.8
2022,5,17.2,9.8,33.0
2022,6,19.9,10.9,42.2
2022,7,22.8,13.6,14.6
2022,8,24.2,13.9,32.2
2022,9,19.1,11.6,95.2
2022,10,17.5,11.0,76.6
2022,11,13.2,8.2,157.6
2022,12,8.5,2.3,82.4
2023,1,9.8,3.8,95.2
2023,2,10.4,3.7,13.0
2023,3,11.3,5.6,128.0
2023,4,13.6,6.2,66.8
2023,5,18.1,8.9,57.0
2023,6,22.4,12.9,27.4
2023,7,19.8,13.7,103.8
2023,8,20.1,13.9,65.0
2023,9,21.5,13.6,54.2
2023,10,17.1,10.6,125.0
2023,11,12.3,7.4,123.4
2023,12,11.5,7.1,145.2
2024,1,9.1,3.2,74.2
2024,2,11.5,6.6,162.4
2024,3,12.0,5.9,111.2
2024,4,13.6,7.6,88.0
2024,5,18.0,9.8,75.4
2024,6,18.2,11.1,30.0
2024,7,20.1,12.8,78.6
2024,8,20.9,14.2,38.4
2024,9,18.2,11.9,112.8
2024,10,16.3,9.3,130.0
2024,11,12.9,7.1,91.6
2024,12,10.8,6.7,57.4
2025,1,8.8,2.2,116.4
2025,2,9.7,4.2,52.0
2025,3,13.1,4.0,6.2
2025,5,19.1,9.5,18.0
2025,6,20.5,13.8,76.0
2025,7,21.9,14.7,44.6
2025,8,22.5,14.1,41.8
2025,9,18.3,10.8,104.4
2025,10,15.6,10.3,84.8
2025,11,13.3,7.4,90.6
2025,12,10.6,5.2,116.2
